step,reward,reward_std,frac_reward_zero_std,entropy,loss,grad_norm,learning_rate,step_time,completions/mean_length,clipped_ratio,judge_mean,length_mean,paint_fraction_mean,quality_mean
53,0.8879,0.03118,0,0.206,0.007327,0.004524,5e-05,1085,2138,0,0.984,0.385,0.239,0.76
54,0.7129,0.1568,0,0.2233,0.004648,0.0193,5e-05,1073,2086,0,0.651,0.377,0.126,0.845
55,0.6559,0.106,0,0.2512,0.01279,0.01505,5e-05,1265,2021,0,0.573,0.377,0.184,0.811
56,0.5275,0.2519,0,0.235,0.01083,0.05894,5e-05,1224,2255,0,0.432,0.423,0.146,0.657
57,0.4217,0.1551,0,0.2303,0.005378,0.01929,5e-05,1092,2289,0,0.25,0.438,0.125,0.666
58,0.6115,0.2116,0,0.2187,0.02308,0.02422,5e-05,1253,2310,0,0.542,0.434,0.197,0.716
59,0.8837,0.05004,0,0.2393,-0.00582,0.00442,5e-05,1433,2950,0,0.929,0.535,0.196,0.833
60,0.5497,0.1362,0,0.2272,0.00599,0.01795,5e-05,1200,2217,0,0.396,0.426,0.289,0.803
61,0.8481,0.09257,0,0.2287,0.01206,0.01807,5e-05,1108,2109,0,0.885,0.384,0.226,0.826
62,0.7685,0.2502,0,0.2186,-0.0007302,0.03513,5e-05,1064,1963,0,0.781,0.356,0.123,0.773
63,0.7594,0.2833,0,0.2442,0.02917,0.03677,5e-05,1208,2300,0,0.766,0.439,0.207,0.76
64,0.6333,0.2571,0,0.2554,0.03348,0.04316,5e-05,1462,2466,0,0.547,0.5,0.17,0.767
65,0.6423,0.2395,0,0.2538,0.0592,0.05183,5e-05,1346,2291,0,0.562,0.449,0.235,0.775
66,0.7539,0.129,0,0.2036,0.02209,0.0147,5e-05,1359,2424,0,0.75,0.441,0.186,0.773
67,0.6857,0.31,0,0.2166,0.01859,0.03465,5e-05,1152,2149,0,0.682,0.393,0.198,0.689
68,0.6799,0.208,0,0.2249,0.0204,0.03103,5e-05,1016,1913,0,0.625,0.353,0.208,0.791
69,0.7252,0.3219,0,0.2157,-0.01184,0.07741,5e-05,946.1,1831,0,0.734,0.324,0.165,0.728
70,0.7459,0.1357,0,0.2006,0.001014,0.01869,5e-05,972,1798,0,0.734,0.317,0.177,0.798
71,0.6724,0.1301,0,0.2172,0.007267,0.01611,5e-05,981.8,1768,0,0.641,0.313,0.228,0.741
72,0.7555,0.3193,0,0.2381,-0.01938,0.04021,5e-05,1122,1916,0,0.766,0.339,0.185,0.764
73,0.6323,0.2876,0,0.2066,0.004145,0.1402,5e-05,1028,1821,0,0.619,0.305,0.194,0.652
74,0.6715,0.2542,0,0.2038,-0.0206,0.03315,5e-05,1090,2039,0,0.609,0.349,0.231,0.795
75,0.727,0.1862,0,0.2125,0.0054,0.023,5e-05,1181,1782,0,0.714,0.312,0.165,0.778
76,0.5812,0.2975,0,0.19,0.01958,0.05039,5e-05,903.9,1633,0,0.521,0.287,0.172,0.681
77,0.6709,0.2467,0,0.2076,-0.01349,0.03108,5e-05,1221,1675,0,0.641,0.289,0.218,0.74
78,0.7315,0.1616,0,0.1891,0.01185,0.02152,5e-05,972.9,1738,0,0.719,0.299,0.268,0.784
79,0.7632,0.1749,0,0.1698,0.001479,0.02117,5e-05,1043,1792,0,0.766,0.31,0.189,0.795
80,0.701,0.1557,0,0.21,0.001859,0.0175,5e-05,1649,1854,0,0.673,0.331,0.246,0.77
81,0.7364,0.284,0,0.1785,0.02823,0.04568,5e-05,1132,1923,0,0.734,0.343,0.263,0.762
82,0.7506,0.1615,0,0.1912,0.007853,0.02026,5e-05,953.9,1743,0,0.719,0.306,0.269,0.847
83,0.7841,0.1685,0,0.189,-0.006429,0.02161,5e-05,967.6,1818,0,0.776,0.321,0.23,0.841
84,0.6406,0.1656,0,0.1995,0.004318,0.02423,5e-05,1011,1704,0,0.562,0.297,0.218,0.794
85,0.7358,0.1983,0,0.1664,0.00783,0.04064,5e-05,1016,2010,0,0.703,0.356,0.26,0.82
86,0.6824,0.2151,0,0.1889,-0.008659,0.02944,5e-05,1092,2010,0,0.641,0.359,0.264,0.767
87,0.7458,0.2969,0,0.1954,0.0025,0.04476,5e-05,943.2,1744,0,0.792,0.315,0.188,0.683
88,0.7674,0.1677,0,0.1829,-0.01013,0.02528,5e-05,1014,2052,0,0.75,0.36,0.242,0.831
89,0.7233,0.3077,0,0.2112,-0.03393,0.04216,5e-05,1079,1860,0,0.703,0.325,0.207,0.784
90,0.5979,0.2848,0,0.1697,0.1993,0.03654,5e-05,1795,2695,0.125,0.594,0.411,0.27,0.612
91,0.7261,0.2391,0,0.1941,-0.03134,0.02764,5e-05,1135,2006,0,0.703,0.364,0.259,0.787
92,0.7827,0.1267,0,0.1868,-0.005162,0.0173,5e-05,1105,1841,0,0.786,0.325,0.247,0.815
93,0.8331,0.163,0,0.186,-0.01277,0.02007,5e-05,1277,2018,0,0.875,0.347,0.251,0.803
94,0.5577,0.2483,0,0.1925,0.02672,0.03273,5e-05,1123,1936,0,0.417,0.339,0.251,0.802
95,0.6471,0.3287,0,0.1675,0.1769,0.04737,5e-05,1805,2814,0.125,0.615,0.443,0.202,0.729
96,0.5376,0.03332,0,0.1776,0.00764,0.02022,5e-05,1347,2347,0,0.37,0.407,0.221,0.818
97,0.844,0.1432,0,0.1928,0.00783,0.01994,5e-05,1229,1915,0,0.901,0.338,0.176,0.788
98,0.7643,0.3294,0,0.1902,0.2394,0.04545,5e-05,1800,2623,0.125,0.812,0.404,0.18,0.73
99,0.8677,0.08331,0,0.206,0.01332,0.02032,5e-05,1277,2193,0,0.911,0.405,0.276,0.835
100,0.6754,0.1431,0,0.2122,0.0008497,0.02103,5e-05,1156,1876,0,0.646,0.34,0.176,0.736
101,0.8746,0.09162,0,0.1959,-0.000336,0.0103,5e-05,1269,2364,0,0.917,0.427,0.229,0.844
102,0.5928,0.294,0,0.198,-0.01027,0.03926,5e-05,1192,1925,0,0.557,0.342,0.179,0.638
103,0.7146,0.2734,0,0.2056,0.05665,0.03291,5e-05,1094,1988,0,0.726,0.356,0.254,0.704
104,0.8166,0.09573,0,0.1902,0.00403,0.01212,5e-05,1357,2197,0,0.839,0.38,0.186,0.815
105,0.7352,0.2325,0,0.1964,0.007632,0.0286,5e-05,1279,2070,0,0.703,0.379,0.345,0.814
106,0.6335,0.3027,0,0.1828,0.1532,0.02366,5e-05,1960,3036,0.125,0.604,0.496,0.251,0.696
107,0.7407,0.198,0,0.1844,0.04235,0.02784,5e-05,1266,2076,0,0.724,0.373,0.224,0.792
108,0.7949,0.2089,0,0.1773,0.02365,0.02614,5e-05,1231,2251,0,0.797,0.404,0.226,0.822
109,0.813,0.07338,0,0.2065,0.006934,0.01219,5e-05,1076,1902,0,0.844,0.342,0.249,0.799
