step,reward,reward_std,frac_reward_zero_std,entropy,loss,grad_norm,learning_rate,step_time,completions/mean_length,clipped_ratio,judge_mean,length_mean,paint_fraction_mean,quality_mean
53,0.8323,0.07546,0,0.2222,0.006876,0.01069,5e-05,888.1,1468,0,0.906,0.258,0.198,0.829
54,0.8153,0.04669,0,0.2113,0.01121,0.006981,5e-05,806.6,1469,0,0.792,0.254,0.213,0.859
55,0.746,0.08793,0,0.2152,0.004659,0.009243,5e-05,1064,1717,0,0.63,0.31,0.194,0.819
56,0.7323,0.2997,0,0.1975,-0.01288,0.03666,5e-05,996.3,1843,0,0.771,0.324,0.191,0.737
57,0.6657,0.08538,0,0.224,0.01772,0.0117,5e-05,1001,1647,0,0.396,0.294,0.185,0.804
58,0.8025,0.06651,0,0.2079,0.003974,0.008493,5e-05,984.6,1683,0,0.766,0.297,0.197,0.847
59,0.6843,0.299,0,0.1922,0.01525,0.03718,5e-05,986.8,1784,0,0.729,0.313,0.168,0.666
60,0.6441,0.09381,0,0.2198,-0.002214,0.01155,5e-05,1004,1686,0,0.318,0.306,0.229,0.806
61,0.8402,0.04314,0,0.2158,0.008644,0.005871,5e-05,1127,1926,0,0.911,0.34,0.24,0.833
62,0.8758,0.0108,0,0.201,0.008985,0.001351,5e-05,1157,1899,0,1.0,0.329,0.202,0.849
63,0.7675,0.05791,0,0.204,0.004233,0.008023,5e-05,1058,1874,0,0.651,0.339,0.238,0.842
64,0.714,0.2957,0,0.2111,-0.004,0.03856,5e-05,943.4,1630,0,0.792,0.301,0.225,0.699
65,0.6298,0.2616,0,0.2348,0.0102,0.03442,5e-05,859.1,1723,0,0.5,0.3,0.183,0.691
66,0.7256,0.2654,0,0.2194,0.06142,0.0368,5e-05,900.4,2110,0,0.672,0.402,0.214,0.757
67,0.7581,0.1339,0,0.2077,0.01294,0.01575,5e-05,1158,2062,0,0.698,0.364,0.206,0.801
68,0.7788,0.094,0,0.2274,0.01361,0.01172,5e-05,1044,1856,0,0.682,0.338,0.234,0.845
69,0.7895,0.1263,0,0.2154,0.01098,0.01619,5e-05,998.2,1750,0,0.828,0.324,0.265,0.791
70,0.7672,0.1155,0,0.2007,-0.008965,0.01142,5e-05,1073,2285,0,0.703,0.419,0.31,0.809
71,0.7927,0.06801,0,0.1995,0.008864,0.007802,5e-05,1096,1963,0,0.755,0.364,0.263,0.83
72,0.8855,0.01387,0,0.2114,0.007085,0.002056,5e-05,1049,2035,0,1.0,0.363,0.258,0.862
73,0.8423,0.06211,0,0.2234,0.009266,0.007817,5e-05,971.1,1943,0,0.984,0.367,0.281,0.798
74,0.8049,0.09132,0,0.2089,0.02306,0.01265,5e-05,1298,1973,0,0.755,0.368,0.276,0.85
75,0.7798,0.1496,0,0.2286,0.01445,0.02213,5e-05,961.5,1964,0,0.729,0.335,0.226,0.824
76,0.8385,0.07899,0,0.2027,0.002519,0.008079,5e-05,1171,2128,0,0.833,0.397,0.34,0.864
77,0.7616,0.1438,0,0.2138,-0.004495,0.01789,5e-05,1049,1897,0,0.719,0.342,0.224,0.798
78,0.8739,0.01703,0,0.2149,0.00776,0.002113,5e-05,943.3,1848,0,0.984,0.35,0.286,0.852
79,0.7366,0.2267,0,0.216,-0.01074,0.02495,5e-05,1215,2202,0,0.693,0.425,0.28,0.763
80,0.7593,0.06695,0,0.2208,0.005345,0.008936,5e-05,1046,1731,0,0.635,0.318,0.254,0.838
81,0.7676,0.118,0,0.2275,0.008981,0.01598,5e-05,853.4,1642,0,0.734,0.304,0.276,0.803
82,0.8362,0.06214,0,0.2187,0.005805,0.00765,5e-05,1090,2016,0,0.922,0.385,0.321,0.817
83,0.8506,0.0676,0,0.2234,0.008969,0.01079,5e-05,1241,1869,0,0.891,0.35,0.268,0.86
84,0.7842,0.06817,0,0.1915,-0.008541,0.007433,5e-05,1168,2322,0,0.807,0.446,0.337,0.783
85,0.8153,0.1179,0,0.2018,0.01068,0.01391,5e-05,905.2,2207,0,0.797,0.42,0.284,0.842
86,0.8177,0.1,0,0.2092,-0.0005862,0.01066,5e-05,1126,2213,0,0.859,0.418,0.298,0.815
87,0.7977,0.1671,0,0.2036,0.002432,0.02275,5e-05,1622,2212,0,0.859,0.411,0.288,0.782
88,0.6892,0.2619,0,0.2086,-0.008872,0.03109,5e-05,1087,2097,0,0.656,0.405,0.242,0.703
